"tf.blind","z.total","multiplied.mean","cond.exp"
0.0361154940426673,0.801,0.0315531181764045,0.0393921575236011
0.038501324081542,0.991,0.038483426042855,0.0388329223439505
0.0307068364249296,0.942,0.0304460584258659,0.0323206565030423
0.0298723948003056,0.427,0.0154257367079644,0.0361258470912516
0.0375002822131176,0.66,0.0310086104859515,0.0469827431605325
0.0418822731146669,0.932,0.0414212436993281,0.0444433945271761
0.0232115361768516,0.453,0.0142050487166109,0.0313577234362271
0.0332951804135394,0.868,0.0323706881597146,0.0372934195388417
0.0283724766599765,0.489,0.0169342505437479,0.0346303692101184
0.0303252645036956,0.755,0.0277168741700207,0.0367110916159215
0.0247884974851728,0.523,0.015736999953635,0.0300898660681358
0.0365652901916351,0.841,0.0345096810147235,0.041034103465783
0.0292102058798694,0.946,0.0289331948793722,0.0305847725997592
0.0321504676669133,0.946,0.0317143518323475,0.0335246848122066
0.0273848581863981,0.266,0.0115965829926873,0.0435961766642379
0.0288303315137355,0.937,0.0284245617406339,0.0303357115695133
0.0169611962445887,0.019,0.000507080824049978,0.026688464423683
0.0263853718347992,0.675,0.0216532377522751,0.0320788707441113
0.0381258690273016,0.982,0.0379972286834784,0.0386937155636236
0.0276883106404283,0.733,0.0245024576224219,0.0334276365926629
0.0273076255702915,0.752,0.0240542011306755,0.0319869695886642
0.0244723979942997,0.757,0.0201989350862863,0.026682873297604
0.027325218270065,0.745,0.023603221120256,0.0316821760003436
0.0196387212669735,0.402,0.00959644466434484,0.0238717528963802
0.0488744305876541,0.998,0.0488708751314045,0.0489688127569183
0.0304563651259775,0.906,0.0297335862267694,0.0328185278441163
0.0215172034342682,0.503,0.0143086527599679,0.0284466257653437
0.0264889394305092,0.718,0.0234624472046395,0.0326775030705286
0.0262703564242309,0.066,0.002374701592002,0.0359803271515454
0.0302328972440679,0.673,0.0264644841618763,0.03932315625836
0.0221625371938592,0.737,0.0191088959075108,0.0259279456004217
0.0262712629563992,0.454,0.014841677795619,0.0326909202546675
0.0219321329311043,0.199,0.00580958045642862,0.0291938716403448
